Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
01296407-15f2-44ab-f806-6052e7583a50,1976-05-29,,999-23-8332,S99972992,X23727036X,Mr.,Alva958,Granville802,Cassin499,,,M,white,nonhispanic,M,Lynn  Massachusetts  US,479 McGlynn Dale,Pinehurst,Massachusetts,Middlesex County,25017,01866,42.55447032811908,-71.26297712764165,113972.68,3510.12,75614
648ab738-d4a4-ca0a-cd7e-ac47a71d644e,2013-01-26,,999-72-9370,,,,Pei116,Daniella68,Schinner682,,,,white,nonhispanic,F,Westport  Massachusetts  US,598 Witting Port,Quincy,Massachusetts,Norfolk County,25021,02170,42.340616184026246,-70.99472496859529,24734.87,0.00,108316
a5d6eae0-5d9c-a13c-2918-6999f40e3e0a,1962-11-23,,999-58-9951,S99977830,X69717846X,Ms.,Latasha666,Blanca837,Reichel38,,,S,white,nonhispanic,F,Shelburne  Massachusetts  US,678 Medhurst Throughway Unit 4,Holbrook,Massachusetts,Norfolk County,25021,02343,42.13843551867013,-70.98115248843662,371549.87,930661.18,145199
d6dead74-2471-8dcb-078f-b5c8b46445cb,1960-07-17,,999-85-6365,S99957079,X84238437X,Mrs.,Pearl430,Patti584,Wolf938,MD,Jakubowski832,W,white,nonhispanic,F,Westborough  Massachusetts  US,615 Abernathy Crossing Suite 44,Worcester,Massachusetts,Worcester County,25027,01606,42.28952207270066,-71.86571829624988,19466.74,968220.53,13727
55b0a0bd-d021-256f-1e94-9b876af4a626,2003-09-29,,999-17-1848,S99920027,X33766722X,Ms.,Brandi2,Alexis664,Gorczany269,,,,white,nonhispanic,F,Topsfield  Massachusetts  US,922 Reynolds Mall Suite 39,Brookline,Massachusetts,Norfolk County,25021,02446,42.36985387879235,-71.08126240171896,113796.61,185332.92,100858
f7e0dbda-e85a-dc5e-e911-8a1e8da8f535,1968-12-30,,999-84-5327,S99986483,X25456343X,Ms.,Krystle484,Ressie457,Haag279,,,S,white,nonhispanic,F,Salem  Massachusetts  US,537 Sporer Landing,Fall River,Massachusetts,Bristol County,25005,02721,41.70929768602627,-71.08118135634483,839303.79,409010.04,62946
3087dc05-ceae-55de-34d6-3fbc20034fd0,1958-04-19,,999-59-8390,S99976344,X85261462X,Mrs.,Trudy596,Rosalva540,Mayert710,,Nitzsche158,M,white,nonhispanic,F,Boston  Massachusetts  US,407 Corwin Parade Apt 31,Ashburnham,Massachusetts,Worcester County,,00000,42.66642179320504,-71.9122378386379,181576.38,894156.04,207911
812e82e6-e79c-295d-3ada-2225b0390351,1969-09-16,,999-84-7811,S99961484,X48593274X,Mr.,Roland928,Weldon459,Moen819,,,M,white,nonhispanic,M,New Bedford  Massachusetts  US,536 Sauer Frontage road,Haverhill,Massachusetts,Essex County,25009,01835,42.7743614548563,-71.08466001360694,175976.49,173024.76,96026
234a3863-ee11-88d0-7e63-ff95c00265b6,1996-10-01,,999-59-2050,S99961626,X43606610X,Mr.,Kraig824,Ron353,Quigley282,,,M,white,nonhispanic,M,Leominster  Massachusetts  US,579 Johns Grove,Boston,Massachusetts,Suffolk County,25025,02114,42.37073922402804,-71.12226970077157,83305.56,22560.64,53275
6a5074ea-8b5b-48de-da92-31b48abd8f24,1994-03-11,,999-34-3438,S99920774,X65224009X,Mr.,Juan88,,Stroman228,,,S,asian,nonhispanic,M,Hong Kong  Hong Kong Special Administrative Region  CN,573 Medhurst Ferry Suite 94,Marlborough,Massachusetts,Middlesex County,25017,01752,42.392754824661495,-71.51505290875217,82983.73,17077.81,161541
